iso3,year,u5mr,dtp3,mcv1,pol3,gdp_pc,health_exp_pc,fertility,female_secondary_enrollment,basic_water,basic_sanitation,physicians_per_1000
MRT,2013,52.1,80,80,80,1934.2410306471409,55.47412872,5.317,27.9143759343964,60.7764532840581,38.0075543396616,NA
MRT,2014,50.6,81,75,81,1713.008652642339,59.39431381,5.261,28.0396485304939,62.3466709330309,39.8731407401327,0.162
MRT,2015,49.1,73,70,67,1554.9489787178247,57.1233139,5.211,28.8231465861958,63.916470728636,41.7742652183786,0.175
MRT,2016,47.7,74,73,69,1565.7657572269577,49.90084076,5.157,30.5243563459821,65.4850065623498,43.7104270690001,NA
MRT,2017,46.2,76,75,70,1615.0040132732322,55.22446442,5.106,30.7430804973383,67.0528469845158,45.6828446170813,0.188
MRT,2018,44.7,77,78,72,1722.9352885407272,49.68307495,5.044,34.754930908232,68.6188207153195,47.6904380054199,0.196
MRT,2019,43.4,80,75,75,1767.0727106209977,54.63365555,4.984,37.5735638620028,70.1831740304399,49.7339098436372,0.201
MRT,2020,42,81,82,81,1795.7645956671436,53.89974594,4.912,36.1789325617578,71.7451315704303,51.8124755125379,0.203
MRT,2021,40.7,77,75,76,1947.789183833133,73.6309433,4.848,NA,73.3049522964887,53.9267671870648,0.219
MRT,2022,39.4,85,84,81,1960.352400774235,91.54125977,4.77,NA,74.8619034584031,56.0758490078081,0.261
MRT,2023,38.1,90,92,90,2135.78187606359,92.11444092,4.697,NA,76.416594605687,58.2608340232933,NA
MRT,2024,36.9,86,93,85,2110.120369381871,NA,4.625,NA,77.2846491375388,58.676920295931,NA
MUS,2000,18.8,88,84,88,3981.983432495823,115.89820862,1.99,74.4722366333008,99.3576713358025,90.5194424395301,0.888
MUS,2001,17.5,92,90,93,3908.556949274354,116.36106873,1.91,79.2426376342773,99.3807165047382,90.8010935078889,0.903
MUS,2002,16.6,88,84,88,4073.060530559032,132.38633728,1.94,82.4899520874023,99.403804146101,91.0831578826494,0.961
MUS,2003,16,99,91,99,4858.265755497474,157.68417358,1.87,85.3790588378906,99.4269447839906,91.3656724156252,0.944
