iso3,year,physicians_per_1000
BGR,2014,3.978
BGR,2015,4.041
BGR,2016,4.107
BGR,2017,4.184
BGR,2018,4.217
BGR,2019,4.236
BGR,2020,4.277
BGR,2021,4.296
BGR,2022,4.328
BGR,2023,NA
BGR,2024,NA
BHR,2000,1.013
BHR,2001,1.06
BHR,2002,1.053
BHR,2003,1.006
BHR,2004,0.922
BHR,2005,0.995
BHR,2006,0.977
BHR,2007,0.995
BHR,2008,0.984
BHR,2009,0.971
BHR,2010,0.971
BHR,2011,1.001
BHR,2012,1.023
BHR,2013,0.998
BHR,2014,0.974
BHR,2015,0.927
BHR,2016,0.83
BHR,2017,0.76
BHR,2018,0.729
BHR,2019,0.687
BHR,2020,0.741
BHR,2021,NA
BHR,2022,NA
BHR,2023,NA
BHR,2024,NA
BHS,2000,NA
BHS,2001,NA
BHS,2002,NA
BHS,2003,NA
BHS,2004,NA
BHS,2005,NA
BHS,2006,NA
BHS,2007,NA
BHS,2008,2.645
BHS,2009,NA
BHS,2010,NA
BHS,2011,2.233
BHS,2012,NA
BHS,2013,NA
BHS,2014,NA
BHS,2015,NA
BHS,2016,NA
BHS,2017,1.895
BHS,2018,NA
BHS,2019,NA
BHS,2020,NA
BHS,2021,NA
BHS,2022,NA
BHS,2023,NA
BHS,2024,NA
BIH,2000,1.312
BIH,2001,1.303
BIH,2002,1.3
BIH,2003,1.33
BIH,2004,1.372
BIH,2005,1.409
BIH,2006,1.46
BIH,2007,1.54
BIH,2008,1.59
BIH,2009,1.674
BIH,2010,1.749
BIH,2011,1.839
BIH,2012,1.914
BIH,2013,1.997
BIH,2014,2.083
BIH,2015,2.107
BIH,2016,2.146
BIH,2017,2.163
BIH,2018,2.457
BIH,2019,2.584
BIH,2020,NA
BIH,2021,NA
BIH,2022,NA
BIH,2023,NA
BIH,2024,NA
BLR,2000,3.268
BLR,2001,3.252
BLR,2002,3.275
BLR,2003,3.303
BLR,2004,3.299
BLR,2005,3.326
BLR,2006,3.393
BLR,2007,3.55
BLR,2008,3.578
BLR,2009,3.713
BLR,2010,3.511
BLR,2011,3.794
BLR,2012,3.885
BLR,2013,3.939
BLR,2014,4.082
BLR,2015,4.255
BLR,2016,4.372
BLR,2017,4.427
BLR,2018,4.486
BLR,2019,4.546
BLR,2020,4.605
BLR,2021,4.686
BLR,2022,4.669
BLR,2023,4.717
BLR,2024,NA
BLZ,2000,1.042
BLZ,2001,NA
BLZ,2002,NA
BLZ,2003,NA
BLZ,2004,NA
BLZ,2005,NA
BLZ,2006,NA
BLZ,2007,NA
BLZ,2008,NA
BLZ,2009,0.771
BLZ,2010,NA
BLZ,2011,NA
BLZ,2012,1.157
BLZ,2013,NA
BLZ,2014,NA
BLZ,2015,NA
BLZ,2016,NA
BLZ,2017,1.131
BLZ,2018,1.086
BLZ,2019,NA
BLZ,2020,NA
BLZ,2021,NA
BLZ,2022,NA
BLZ,2023,NA
BLZ,2024,NA
BMU,2000,NA
BMU,2001,NA
BMU,2002,NA
BMU,2003,NA
BMU,2004,NA
BMU,2005,NA
BMU,2006,NA
BMU,2007,NA
BMU,2008,NA
BMU,2009,NA
BMU,2010,NA
BMU,2011,NA
BMU,2012,NA
BMU,2013,NA
BMU,2014,NA
BMU,2015,NA
BMU,2016,NA
BMU,2017,NA
BMU,2018,NA
BMU,2019,NA
BMU,2020,NA
BMU,2021,NA
BMU,2022,NA
BMU,2023,NA
BMU,2024,NA
BOL,2000,NA
BOL,2001,1.18
BOL,2002,NA
BOL,2003,NA
BOL,2004,NA
BOL,2005,NA
BOL,2006,NA
BOL,2007,0.327
BOL,2008,NA
BOL,2009,NA
BOL,2010,0.433
BOL,2011,0.461
BOL,2012,NA
BOL,2013,NA
BOL,2014,NA
BOL,2015,NA
BOL,2016,1.569
BOL,2017,1.016
BOL,2018,NA
BOL,2019,1.088
BOL,2020,0.961
BOL,2021,1.284
BOL,2022,NA
BOL,2023,NA
BOL,2024,NA
BRA,2000,NA
BRA,2001,NA
BRA,2002,NA
BRA,2003,NA
BRA,2004,NA
BRA,2005,NA
BRA,2006,NA
BRA,2007,NA
BRA,2008,NA
BRA,2009,NA
BRA,2010,NA
BRA,2011,1.87
BRA,2012,NA
BRA,2013,1.906
BRA,2014,NA
BRA,2015,NA
