iso3,year,gdp_pc
SVN,2008,27461.97641653151
SVN,2009,24501.78972904253
SVN,2010,23329.841769115577
SVN,2011,24940.628484160476
SVN,2012,22442.141785995507
SVN,2013,23236.9655321695
SVN,2014,24013.06820609594
SVN,2015,20697.27485306189
SVN,2016,21447.83777960361
SVN,2017,23303.07770595903
SVN,2018,25888.04810656553
SVN,2019,25814.168716757213
SVN,2020,25392.06510936123
SVN,2021,29192.840193301865
SVN,2022,28360.304146726812
SVN,2023,32660.475358134645
SVN,2024,34301.03186865935
SWE,2000,29632.58908116233
SWE,2001,27259.317430021718
SWE,2002,29957.77766649162
SWE,2003,37292.24197278008
SWE,2004,42758.00485649289
SWE,2005,43378.40773943629
SWE,2006,46531.37622404847
SWE,2007,53568.30577878322
SWE,2008,55817.17597264853
SWE,2009,46707.64250447509
SWE,2010,52542.57590902992
SWE,2011,60379.48145993216
SWE,2012,57749.56154208534
SWE,2013,60843.98887993689
SWE,2014,59583.45844917144
SWE,2015,51188.165212049265
SWE,2016,51703.508833285116
SWE,2017,53210.22333189649
SWE,2018,54018.45543918606
SWE,2019,51648.98928205141
SWE,2020,52568.57269801464
SWE,2021,60647.54163653466
SWE,2022,54836.890723512355
SWE,2023,54950.28347256223
SWE,2024,57117.487744061626
SWZ,2000,1629.6703884281549
SWZ,2001,1429.8563035944705
SWZ,2002,1315.7363464799394
SWZ,2003,2015.2174306525103
SWZ,2004,2525.5640452625016
SWZ,2005,2871.0687743744857
SWZ,2006,2964.9586520068237
SWZ,2007,3109.1109760886393
SWZ,2008,2946.8606613746038
SWZ,2009,3189.796799566374
SWZ,2010,3922.740393907329
SWZ,2011,4225.060494119111
SWZ,2012,4224.547891744865
SWZ,2013,3949.94310039907
SWZ,2014,3771.072283819378
SWZ,2015,3419.822765595284
SWZ,2016,3238.176119613639
SWZ,2017,3853.099565696787
SWZ,2018,3972.6545062035666
SWZ,2019,3913.1457754733624
SWZ,2020,3466.5693627814517
SWZ,2021,3984.002291743063
SWZ,2022,3894.162008986901
SWZ,2023,3755.5211123246368
SWZ,2024,3909.558923781816
SXM,2000,NA
SXM,2001,NA
SXM,2002,NA
SXM,2003,NA
SXM,2004,NA
SXM,2005,NA
SXM,2006,NA
SXM,2007,NA
SXM,2008,NA
SXM,2009,25528.412619483028
SXM,2010,26403.814369216314
SXM,2011,27317.5178881974
SXM,2012,28149.09978550408
SXM,2013,28529.73246870533
SXM,2014,37134.91242309905
SXM,2015,37839.62838151634
SXM,2016,37308.614779573596
SXM,2017,34701.30584944681
SXM,2018,31708.311012474172
SXM,2019,34861.46952896804
SXM,2020,30150.899838047677
SXM,2021,32548.43668549022
SXM,2022,37793.12843991573
SXM,2023,39451.8223361963
SXM,2024,41472.5874498583
SYC,2000,8063.655005751688
SYC,2001,8153.298636987904
SYC,2002,8864.169194954675
SYC,2003,9070.284607570127
SYC,2004,10827.671636032957
SYC,2005,11802.111827683288
SYC,2006,12782.993892647544
SYC,2007,12669.30266872219
SYC,2008,11265.437627000474
SYC,2009,9747.09180546291
SYC,2010,10934.79494629001
SYC,2011,12110.09374619728
SYC,2012,12337.155466938775
SYC,2013,14821.292147607652
SYC,2014,15188.190217511252
SYC,2015,15333.105172710513
SYC,2016,16566.994604229385
SYC,2017,17480.365191137193
SYC,2018,18440.234046093155
SYC,2019,19141.5118743615
SYC,2020,14041.47540745751
SYC,2021,14982.911148776711
SYC,2022,16836.672189538738
