iso3,year,basic_water
CPV,2019,87.808568861158
CPV,2020,88.5325658069206
CPV,2021,89.2475125078835
CPV,2022,90.0089261333879
CPV,2023,91.14605423466
CPV,2024,92.2800892661912
CRI,2000,94.6502911361544
CRI,2001,95.06241560763
CRI,2002,95.4574835012159
CRI,2003,95.8356618938296
CRI,2004,96.1969667880475
CRI,2005,96.5413161028421
CRI,2006,96.8693455688098
CRI,2007,97.1812060474922
CRI,2008,97.4773794147113
CRI,2009,97.7577854110193
CRI,2010,98.0009426570817
CRI,2011,98.2283678408566
CRI,2012,98.4744866370989
CRI,2013,98.7063924008677
CRI,2014,98.925021084525
CRI,2015,99.1313622232054
CRI,2016,99.3263015038118
CRI,2017,99.5106743044316
CRI,2018,99.6853095331448
CRI,2019,99.7975280834127
CRI,2020,99.8105394546059
CRI,2021,99.8118715066538
CRI,2022,99.8131236656386
CRI,2023,99.8143035929016
CRI,2024,99.8154123406248
CSS,2000,NA
CSS,2001,92.4619030228357
CSS,2002,92.67518935173852
CSS,2003,92.90838340416896
CSS,2004,93.14433686319748
CSS,2005,94.63533036568177
CSS,2006,94.792466704154
CSS,2007,94.9524353075298
CSS,2008,95.11380522139488
CSS,2009,95.27461381435278
CSS,2010,95.48082071066219
CSS,2011,95.69029037864692
CSS,2012,95.89474111569788
CSS,2013,96.08382494975966
CSS,2014,96.2822300959083
CSS,2015,96.47711171485521
CSS,2016,96.6668970026093
CSS,2017,96.85699507009842
CSS,2018,97.0592710435723
CSS,2019,97.24342606766652
CSS,2020,97.29924774156586
CSS,2021,97.44987503328768
CSS,2022,97.5801710088132
CSS,2023,97.64656993274804
CSS,2024,97.69078445112169
CUB,2000,91.7610721399503
CUB,2001,91.9170181666427
CUB,2002,92.0704754889772
CUB,2003,92.2115760300604
CUB,2004,92.3412457236427
CUB,2005,92.4685863425789
CUB,2006,92.5950448888063
CUB,2007,92.7206267884333
CUB,2008,92.8453176917664
CUB,2009,92.9690063115847
CUB,2010,93.0918301196751
CUB,2011,93.2137774983012
CUB,2012,93.3348598456684
CUB,2013,93.4501274945212
CUB,2014,93.5636719296171
CUB,2015,93.6769409300078
CUB,2016,93.789720928695
CUB,2017,93.9033102492432
CUB,2018,94.0175439331674
CUB,2019,94.1321684364764
CUB,2020,94.3125042863125
CUB,2021,94.7764082535519
CUB,2022,94.9002231685934
CUB,2023,95.0236345510277
CUB,2024,95.1464064347704
CUW,2000,98.700791720998
CUW,2001,98.8021593568268
CUW,2002,98.9035269926556
